"ball","team","batsman","bowler","nonStriker","byes","legbyes","noballs","wides","nonBoundary","penalty","runs","extras","totalRuns","wicketFielder","wicketKind","wicketPlayerOut","replacementIn","replacementOut","replacementReason","replacementTeam","date","matchType","overs","venue","team1","team2","winner","result","gender"
"1st.2.6","Kolkata Knight Riders","FH Allen","AM Ghazanfar","AM Rahane",0,0,0,0,0,0,6,0,6,"nobody","not-out","nobody","0","0","0","0",2026-03-29,"T20",20,"Wankhede Stadium, Mumbai","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","NA","male"
"1st.3.1","Kolkata Knight Riders","AM Rahane","HH Pandya","FH Allen",0,0,0,0,0,0,6,0,6,"nobody","not-out","nobody","0","0","0","0",2026-03-29,"T20",20,"Wankhede Stadium, Mumbai","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","NA","male"
"1st.3.2","Kolkata Knight Riders","AM Rahane","HH Pandya","FH Allen",0,0,0,0,0,0,6,0,6,"nobody","not-out","nobody","0","0","0","0",2026-03-29,"T20",20,"Wankhede Stadium, Mumbai","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","NA","male"
"1st.3.3","Kolkata Knight Riders","AM Rahane","HH Pandya","FH Allen",0,1,0,0,0,0,0,1,1,"nobody","not-out","nobody","0","0","0","0",2026-03-29,"T20",20,"Wankhede Stadium, Mumbai","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","NA","male"
"1st.3.4","Kolkata Knight Riders","FH Allen","HH Pandya","AM Rahane",0,0,0,0,0,0,4,0,4,"nobody","not-out","nobody","0","0","0","0",2026-03-29,"T20",20,"Wankhede Stadium, Mumbai","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","NA","male"
"1st.3.5","Kolkata Knight Riders","FH Allen","HH Pandya","AM Rahane",0,0,0,1,0,0,0,1,1,"nobody","not-out","nobody","0","0","0","0",2026-03-29,"T20",20,"Wankhede Stadium, Mumbai","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","NA","male"
"1st.3.6","Kolkata Knight Riders","FH Allen","HH Pandya","AM Rahane",0,0,0,0,0,0,4,0,4,"nobody","not-out","nobody","0","0","0","0",2026-03-29,"T20",20,"Wankhede Stadium, Mumbai","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","NA","male"
"1st.3.7","Kolkata Knight Riders","FH Allen","HH Pandya","AM Rahane",0,0,0,0,0,0,4,0,4,"nobody","not-out","nobody","0","0","0","0",2026-03-29,"T20",20,"Wankhede Stadium, Mumbai","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","NA","male"
"1st.4.1","Kolkata Knight Riders","AM Rahane","JJ Bumrah","FH Allen",0,0,0,0,0,0,4,0,4,"nobody","not-out","nobody","0","0","0","0",2026-03-29,"T20",20,"Wankhede Stadium, Mumbai","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","NA","male"
"1st.4.2","Kolkata Knight Riders","AM Rahane","JJ Bumrah","FH Allen",0,0,0,0,0,0,1,0,1,"nobody","not-out","nobody","0","0","0","0",2026-03-29,"T20",20,"Wankhede Stadium, Mumbai","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","NA","male"
"1st.4.3","Kolkata Knight Riders","FH Allen","JJ Bumrah","AM Rahane",0,0,0,0,0,0,4,0,4,"nobody","not-out","nobody","0","0","0","0",2026-03-29,"T20",20,"Wankhede Stadium, Mumbai","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","NA","male"
"1st.4.4","Kolkata Knight Riders","FH Allen","JJ Bumrah","AM Rahane",0,0,0,0,0,0,1,0,1,"nobody","not-out","nobody","0","0","0","0",2026-03-29,"T20",20,"Wankhede Stadium, Mumbai","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","NA","male"
"1st.4.5","Kolkata Knight Riders","AM Rahane","JJ Bumrah","FH Allen",0,0,0,0,0,0,0,0,0,"nobody","not-out","nobody","0","0","0","0",2026-03-29,"T20",20,"Wankhede Stadium, Mumbai","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","NA","male"
"1st.4.6","Kolkata Knight Riders","AM Rahane","JJ Bumrah","FH Allen",0,0,0,0,0,0,1,0,1,"nobody","not-out","nobody","0","0","0","0",2026-03-29,"T20",20,"Wankhede Stadium, Mumbai","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","NA","male"
